holiday,temp,rain,snow,weather,year,month,day,hour,minute,second,actual,predicted
7,282.35,0,0,0,2017,10,22,4,0,0,332,2506.367347
7,270.88,0,0,0,2016,2,21,0,0,0,1353,2090.19355
7,266.37,0,0,1,2013,2,23,4,0,0,387,2433.006704
7,275.4,0,0,1,2013,2,14,13,0,0,5015,3451.90076
7,294.58,0,0,4,2018,6,18,13,0,0,4743,3559.800708
7,298.28,0,0,1,2016,4,17,14,0,0,4661,3812.903108
7,293.34,0,0,4,2017,5,28,14,0,0,4007,3656.802164
7,280.47,0,0,0,2015,10,2,1,0,0,431,2230.735415
7,301.82,0,0,1,2018,6,28,20,0,0,3127,4382.490955
7,258.22,0,0,0,2017,2,9,10,0,0,4527,2880.911342
7,291.72,0,0,4,2017,8,18,10,0,0,4562,3205.173515
7,261.39,0,0,0,2013,1,15,16,0,0,6493,3569.652019
7,293.25,1.27,0,4,2015,6,29,20,0,0,2527,4247.366903
7,276.69,0,0,5,2017,3,23,18,0,0,4531,3826.024432
7,263.79,0,0,8,2017,12,23,3,0,0,391,1985.495109
7,293.39,0.62,0,4,2014,6,1,12,0,0,4642,3509.987963
7,286.57,0,0,5,2013,5,29,12,0,0,4899,3394.387547
7,289.86,0.3,0,4,2016,9,9,8,0,0,6022,2988.08746
7,268.69,0,0,1,2016,2,26,7,0,0,6641,2720.771602
7,301.61,0,0,1,2014,7,10,15,0,0,5962,3941.809714
7,280.4,0,0,0,2016,11,8,9,0,0,5089,2975.710088
7,271.15,0,0,1,2013,1,16,15,0,0,5700,3598.841634
7,279.15,0,0,5,2016,11,3,6,0,0,5706,2595.700762
7,293.15,0,0,3,2017,6,11,23,0,0,1183,4548.03867
7,258.69,0,0,3,2013,1,21,17,0,0,4420,3576.900601
7,271.35,0,0,1,2018,2,24,20,0,0,1520,4005.698757
7,273.86,0,0,1,2013,1,9,15,0,0,5447,3645.672538
7,265.84,0,0,8,2017,12,22,9,0,0,4515,2601.582483
7,275.515,0,0,1,2017,1,24,14,0,0,4996,3509.393366
7,276.8,0,0,5,2012,12,2,20,0,0,2319,3959.000927
7,299.04,0,0,1,2016,7,31,12,0,0,2230,3566.285825
7,300.56,0,0,0,2015,9,5,21,0,0,2849,4487.594993
7,272.27,0,0,8,2017,1,2,12,0,0,3732,3185.571016
7,278.65,0,0,0,2016,11,11,5,0,0,2702,2556.973033
7,278.35,0.25,0,4,2013,10,19,0,0,0,1312,2048.943177
7,280.4,0,0,1,2013,5,3,17,0,0,5837,3878.168927
7,299.29,0.25,0,4,2013,6,28,21,0,0,3143,4457.763385
7,296.75,0,0,0,2017,6,10,2,0,0,641,2598.441741
7,278.31,0,0,1,2012,11,8,10,0,0,4670,3075.262106
7,294.353,0,0,0,2013,9,8,14,0,0,4120,3734.906164
7,281.22,0,0,0,2015,9,29,7,0,0,6572,2814.970728
7,295.09,0,0,4,2018,6,9,19,0,0,3128,4161.651869
7,294.75,0,0,0,2016,6,16,12,0,0,5473,3550.046459
7,276.22,0,0,4,2017,5,1,16,0,0,5904,3629.578403
7,271.01,0,0,5,2018,4,15,15,0,0,2171,3430.809172
7,289.74,0,0,4,2017,8,25,11,0,0,4501,3266.5259
7,272.02,0,0,1,2018,1,19,8,0,0,5673,2866.529811
7,291.93,0,0,0,2018,8,15,5,0,0,3181,2771.3857
7,265.02,0,0,0,2015,11,28,23,0,0,1874,4107.409197
7,288.73,0,0,1,2016,9,4,6,0,0,1352,2826.286719
7,276.793,0,0,1,2013,12,19,1,0,0,372,2136.144324
7,275.04,0,0,1,2016,4,7,0,0,0,600,2118.423285
7,301.35,0,0,1,2017,7,10,16,0,0,6107,3999.942524
7,255.78,0,0,0,2014,2,24,4,0,0,889,2280.244523
7,278.7,0,0,1,2013,4,23,13,0,0,4615,3458.671614
7,291.44,0,0,4,2016,5,27,6,0,0,5332,2861.801385
7,272.74,0,0,1,2013,1,19,10,0,0,3550,3131.39153
7,296.04,2.1,0,4,2015,9,17,5,0,0,2903,2789.667573
